domain,signal,previous_run_id,current_run_id,previous_completed_at,current_completed_at,previous_outcome,current_outcome,previous_value_json,current_value_json,changed
www.cloudflare.com,metadata.feeds,bff7e036-8707-4951-8b52-0a16516920ca,5ea81fc6-f651-4005-805b-d37ca9ebe64e,2026-09-22T12:50:04.254008+00:00,2026-09-22T12:51:04.388735+00:00,error,error,null,null,False
www.cloudflare.com,metadata.generator,bff7e036-8707-4951-8b52-0a16516920ca,5ea81fc6-f651-4005-805b-d37ca9ebe64e,2026-09-22T12:50:04.254008+00:00,2026-09-22T12:51:04.388735+00:00,observed,observed,"""Astro v6.3.7""","""Astro v6.3.7""",False
www.cloudflare.com,metadata.html_language,bff7e036-8707-4951-8b52-0a16516920ca,5ea81fc6-f651-4005-805b-d37ca9ebe64e,2026-09-22T12:50:04.254008+00:00,2026-09-22T12:51:04.388735+00:00,observed,observed,"""en""","""en""",False
www.cloudflare.com,metadata.html_title,bff7e036-8707-4951-8b52-0a16516920ca,5ea81fc6-f651-4005-805b-d37ca9ebe64e,2026-09-22T12:50:04.254008+00:00,2026-09-22T12:51:04.388735+00:00,observed,observed,"""Cloudflare: Build for the agent era""","""Cloudflare: Build for the agent era""",False
www.cloudflare.com,metadata.json_ld,bff7e036-8707-4951-8b52-0a16516920ca,5ea81fc6-f651-4005-805b-d37ca9ebe64e,2026-09-22T12:50:04.254008+00:00,2026-09-22T12:51:04.388735+00:00,observed,observed,true,true,False
www.cloudflare.com,metadata.json_ld_types,bff7e036-8707-4951-8b52-0a16516920ca,5ea81fc6-f651-4005-805b-d37ca9ebe64e,2026-09-22T12:50:04.254008+00:00,2026-09-22T12:51:04.388735+00:00,observed,observed,"[""Organization"",""SearchAction"",""WebPage"",""WebSite""]","[""Organization"",""SearchAction"",""WebPage"",""WebSite""]",False
www.cloudflare.com,metadata.llms_txt_exists,bff7e036-8707-4951-8b52-0a16516920ca,5ea81fc6-f651-4005-805b-d37ca9ebe64e,2026-09-22T12:50:04.254008+00:00,2026-09-22T12:51:04.388735+00:00,observed,observed,true,true,False
www.cloudflare.com,metadata.llms_txt_status,bff7e036-8707-4951-8b52-0a16516920ca,5ea81fc6-f651-4005-805b-d37ca9ebe64e,2026-09-22T12:50:04.254008+00:00,2026-09-22T12:51:04.388735+00:00,observed,observed,200,200,False
www.cloudflare.com,metadata.open_graph,bff7e036-8707-4951-8b52-0a16516920ca,5ea81fc6-f651-4005-805b-d37ca9ebe64e,2026-09-22T12:50:04.254008+00:00,2026-09-22T12:51:04.388735+00:00,observed,observed,true,true,False
www.cloudflare.com,metadata.opensearch_url,bff7e036-8707-4951-8b52-0a16516920ca,5ea81fc6-f651-4005-805b-d37ca9ebe64e,2026-09-22T12:50:04.254008+00:00,2026-09-22T12:51:04.388735+00:00,error,error,null,null,False
www.cloudflare.com,metadata.sitemap_child_sitemap_count,bff7e036-8707-4951-8b52-0a16516920ca,5ea81fc6-f651-4005-805b-d37ca9ebe64e,2026-09-22T12:50:04.254008+00:00,2026-09-22T12:51:04.388735+00:00,error,error,null,null,False
www.cloudflare.com,metadata.sitemap_document_type,bff7e036-8707-4951-8b52-0a16516920ca,5ea81fc6-f651-4005-805b-d37ca9ebe64e,2026-09-22T12:50:04.254008+00:00,2026-09-22T12:51:04.388735+00:00,error,error,null,null,False
www.cloudflare.com,metadata.sitemap_exists,bff7e036-8707-4951-8b52-0a16516920ca,5ea81fc6-f651-4005-805b-d37ca9ebe64e,2026-09-22T12:50:04.254008+00:00,2026-09-22T12:51:04.388735+00:00,error,error,null,null,False
www.cloudflare.com,metadata.sitemap_status,bff7e036-8707-4951-8b52-0a16516920ca,5ea81fc6-f651-4005-805b-d37ca9ebe64e,2026-09-22T12:50:04.254008+00:00,2026-09-22T12:51:04.388735+00:00,observed,observed,200,200,False
www.cloudflare.com,metadata.sitemap_url_count,bff7e036-8707-4951-8b52-0a16516920ca,5ea81fc6-f651-4005-805b-d37ca9ebe64e,2026-09-22T12:50:04.254008+00:00,2026-09-22T12:51:04.388735+00:00,error,error,null,null,False
www.cloudflare.com,metadata.web_manifest_url,bff7e036-8707-4951-8b52-0a16516920ca,5ea81fc6-f651-4005-805b-d37ca9ebe64e,2026-09-22T12:50:04.254008+00:00,2026-09-22T12:51:04.388735+00:00,error,error,null,null,False
www.cloudflare.com,network.dns_address_count,bff7e036-8707-4951-8b52-0a16516920ca,5ea81fc6-f651-4005-805b-d37ca9ebe64e,2026-09-22T12:50:04.254008+00:00,2026-09-22T12:51:04.388735+00:00,observed,observed,4,4,False
www.cloudflare.com,network.dns_addresses,bff7e036-8707-4951-8b52-0a16516920ca,5ea81fc6-f651-4005-805b-d37ca9ebe64e,2026-09-22T12:50:04.254008+00:00,2026-09-22T12:51:04.388735+00:00,observed,observed,"[{""address"":""104.16.123.96"",""family"":""IPv4""},{""address"":""104.16.124.96"",""family"":""IPv4""},{""address"":""2606:4700::6810:7b60"",""family"":""IPv6""},{""address"":""2606:4700::6810:7c60"",""family"":""IPv6""}]","[{""address"":""104.16.123.96"",""family"":""IPv4""},{""address"":""104.16.124.96"",""family"":""IPv4""},{""address"":""2606:4700::6810:7b60"",""family"":""IPv6""},{""address"":""2606:4700::6810:7c60"",""family"":""IPv6""}]",False
www.cloudflare.com,network.dns_addresses_truncated,bff7e036-8707-4951-8b52-0a16516920ca,5ea81fc6-f651-4005-805b-d37ca9ebe64e,2026-09-22T12:50:04.254008+00:00,2026-09-22T12:51:04.388735+00:00,observed,observed,false,false,False
www.cloudflare.com,network.dns_canonical_name,bff7e036-8707-4951-8b52-0a16516920ca,5ea81fc6-f651-4005-805b-d37ca9ebe64e,2026-09-22T12:50:04.254008+00:00,2026-09-22T12:51:04.388735+00:00,no_evidence,no_evidence,null,null,False
www.cloudflare.com,network.dns_ip_families,bff7e036-8707-4951-8b52-0a16516920ca,5ea81fc6-f651-4005-805b-d37ca9ebe64e,2026-09-22T12:50:04.254008+00:00,2026-09-22T12:51:04.388735+00:00,observed,observed,"[""IPv4"",""IPv6""]","[""IPv4"",""IPv6""]",False
www.cloudflare.com,network.dns_nameservers,bff7e036-8707-4951-8b52-0a16516920ca,5ea81fc6-f651-4005-805b-d37ca9ebe64e,2026-09-22T12:50:04.254008+00:00,2026-09-22T12:51:04.388735+00:00,observed,observed,"[""ns3.cloudflare.com"",""ns4.cloudflare.com"",""ns5.cloudflare.com"",""ns6.cloudflare.com"",""ns7.cloudflare.com""]","[""ns3.cloudflare.com"",""ns4.cloudflare.com"",""ns5.cloudflare.com"",""ns6.cloudflare.com"",""ns7.cloudflare.com""]",False
www.cloudflare.com,network.dns_resolved,bff7e036-8707-4951-8b52-0a16516920ca,5ea81fc6-f651-4005-805b-d37ca9ebe64e,2026-09-22T12:50:04.254008+00:00,2026-09-22T12:51:04.388735+00:00,observed,observed,true,true,False
www.cloudflare.com,network.dns_soa_primary,bff7e036-8707-4951-8b52-0a16516920ca,5ea81fc6-f651-4005-805b-d37ca9ebe64e,2026-09-22T12:50:04.254008+00:00,2026-09-22T12:51:04.388735+00:00,observed,observed,"""ns3.cloudflare.com""","""ns3.cloudflare.com""",False
www.cloudflare.com,network.http_version,bff7e036-8707-4951-8b52-0a16516920ca,5ea81fc6-f651-4005-805b-d37ca9ebe64e,2026-09-22T12:50:04.254008+00:00,2026-09-22T12:51:04.388735+00:00,observed,observed,"""HTTP/2""","""HTTP/2""",False
